17260	8	28291
27157	18	27157
25341	18	25341
13829	10	21987
391	8	25876
10493	15	26871
5090	10	1618
19830	11	19823
1014	7	2971
25362	10	26603
10434	16	13259
2328	9	1739
5684	11	26897
12469	10	23145
2950	10	3751
21817	10	11696
8685	10	3148
10135	10	24657
10838	10	4016
2611	7	5235
9155	10	3164
17200	10	2891
25627	7	5886
4769	9	15902
21174	10	3164
23978	10	25408
9181	18	9181
12928	10	2956
8426	17	12093
26564	18	26564
19486	7	12873
6255	10	7564
18506	10	21936
14179	17	3181
11804	11	14189
13958	7	22134
9443	10	18782
8225	10	25960
15540	8	25876
11169	11	18210
14972	10	10140
17993	17	22089
28512	8	28291
24611	8	28291
3094	11	8211
4592	17	23022
8900	10	24624
3455	7	11325
15168	7	17318
13145	10	26343
26164	10	26456
20630	18	20630
7329	7	6022
14984	17	7289
3330	1	14652
21353	7	9358
4100	18	4100
25355	10	23703
20048	10	21936
17984	11	11094
10307	10	26182
23754	10	16168
18398	10	13849
6406	10	17488
2334	7	70
12716	11	18817
28493	10	14586
15864	7	544
26330	9	8719
12658	10	3826
19447	10	15162
21398	18	21398
21059	11	15391
4106	10	13519
12928	10	1110
1665	16	2995
12309	10	14477
16895	10	20346
17318	18	17318
629	10	11875
4177	10	11065
830	11	18817
12769	10	2956
7623	17	18817
23603	10	26897
1204	11	26677
20199	17	18817
8484	8	12641
21484	10	23104
17255	7	27629
14639	1	22077
12590	18	12590
2828	8	25876
26285	10	14753
22502	10	2716
25112	18	25112
12267	16	1238
20272	8	25876
13314	7	26441
8581	10	4016
4807	18	4807
11286	17	15850
7566	18	7566
9517	10	12959
2871	10	24634
15268	8	28291
3780	10	454
11535	10	26340
3002	11	2956
22555	18	22555
11239	10	26927
862	10	11381
1944	10	11813
16866	7	22142
19960	10	18842
1667	9	17116
22799	10	14900
15715	26	20948
4739	17	26897
2443	10	9056
28388	10	10750
10523	7	3877
24163	7	21894
28029	10	7255
6173	8	28291
25932	10	7272
10112	10	19683
14920	10	8211
21484	10	24879
5870	10	11790
17899	7	2937
12769	10	1110
24897	10	3238
12151	16	24187
13687	18	13687
27157	10	13978
5589	18	5589
14057	9	17599
17058	17	12093
18539	10	17291
22057	10	24774
1965	7	4180
28094	3	24590
23958	18	23958
19177	10	27677
10014	11	1110
26320	10	18782
25877	10	19961
7968	17	15391
1959	8	28291
18807	11	22589
5200	18	5200
19587	10	9585
155	18	155
8666	7	10287
6101	8	25876
8401	10	27217
22577	17	9745
2241	18	2241
20335	10	16130
19762	10	1020
4715	10	7489
8685	10	1350
10130	10	14440
5450	17	20759
26596	10	11153
6800	18	6800
14972	10	11813
3681	7	21998
27677	8	25876
27592	10	20358
21840	1	17753
17691	23	6614
5171	18	5171
4834	17	25610
24924	10	28095
11272	10	16588
9212	7	4749
23248	9	11234
25597	18	25597
20353	7	13667
28572	18	28572
2547	17	24825
27532	10	27217
21553	10	3751
9217	10	19295
27254	10	14958
19167	11	11910
8597	15	15822
3530	18	3530
6405	8	28291
17496	17	24683
22333	10	4036
8833	10	14162
22523	10	24624
25533	4	550
27307	17	28514
23531	8	28291
17614	7	25137
14182	10	4372
6234	9	17875
16873	8	12641
3235	18	3235
8900	10	26603
28250	7	9723
24762	1	9993
22834	8	25876
15511	17	19254
25779	10	24617
21953	11	25909
2792	7	16578
19231	17	625
11972	18	11972
4099	2	27237
11262	10	1902
1818	10	27217
21903	7	18703
16336	9	14147
11254	10	11443
3554	10	10688
27595	18	27595
21840	10	10181
22057	10	3113
21157	10	4453
27268	11	24825
28344	10	26296
6709	17	26142
22167	10	17488
4273	10	15059
23492	18	23492
27171	10	26803
10271	26	13789
16755	8	28291
25734	7	21279
23936	10	15181
10108	10	22776
16485	18	16485
3796	10	13598
24425	18	24425
9054	10	14364
28351	18	28351
3107	18	3107
15546	16	20405
19999	9	11430
2963	10	12093
13793	18	13793
24678	10	10645
27171	10	1367
19788	10	26927
8321	10	6110
12672	10	10750
27157	10	28320
11655	17	11094
7690	10	3751
21817	10	28320
14361	10	10688
11205	7	18000
2011	10	14007
22057	10	22286
7951	7	18375
9566	10	20570
9899	17	28207
18248	10	15600
23370	10	683
3448	23	20948
16542	10	17419
7619	7	15906
9953	17	2153
18957	18	18957
8892	7	18997
17298	10	9189
21932	10	10869
23174	8	28291
19968	11	18817
15246	18	15246
